 Metabolite_name	RefMet_name	K1	K10	K11	K12	K13	K2	K3	K4	K5	K7	K8	K9	245c	248c	249c	250c	252c	253c	257c	258c	259c	s251	s253	s293	s294	s299	s303	s313	s315	s318	s330	s336	s339	s345	245t	248t	249t	250t	252t	253t	257t	258t	259t
Factors	-	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Control	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Blood serum | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema	Sample source:Interstitial fluid | Group:Lymphedema
Glycine	Glycine	119.2000	241.3000	303.4000	309.5000	204.1000	233.5000	466.1000	309.7000	124.1000	212.8000	299.2000	266	266	278.2000	115.8000	408.3000	255	178.7000	181.6000	176.7000	177.4000	300.8000	305.4000	196.6000	449.4000	371.7000	282.2000	393.6000	200.4000	469.2000	276.1000	813.7000	202.9000	463	320.7000	264.9000	125.1000	344.6000	286.2000	166.8000	209.4000	186.3000	187
Histidine	Histidine	56.4000	77.2000	76.2000	65.5000	66.5000	81.5000	55.3000	74.4000	34.1000	62.9000	76.1000	76	53.7000	70.4000	60.4000	68.9000	63.1000	78.1000	108.8000	89.1000	69.1000	111.5000	105.8000	53.5000	153.5000	91.8000	46.3000	145.1000	112.6000	109.3000	62.6000	125.8000	138	114	74.9000	67.8000	68.6000	48.6000	59.7000	70.5000	84.6000	101.1000	72.5000
Inosine	Inosine	7.7000	11.2000		9.2000	5.1000	1.2000	5.1000	6	7	0.3000	14.1000	12.6000	4.7000	11.5000	3.3000	9.2000	1.1000	6.3000	3.7000	8.3000	6.9000	10.9000	9	4.1000	8.1000	9.5000	0.1000	1.7000	5.9000		18.1000	4	14.1000	10.9000									
Isobutyric acid	Isobutyric acid	11.6000	5.8000	9.1000	4.7000	2.8000	6.8000	6.1000	6	8	7.2000	5.4000	3.9000	8.6000	9.5000	15.3000	5.1000	8.4000	9	7.7000	13.1000	5	14.7000	10	5.7000	13.1000	9.2000	11.1000	11.8000	11.7000	17.8000	11.7000	7.1000	12.4000	15	6.4000	8.2000	13	8.9000	6.7000	10	8.4000	7.9000	7.5000
Isoleucine	Isoleucine	60.9000	66.2000	66.3000	58.3000	55.7000	75.3000	54.4000	50.2000	65.7000	49.9000	77.4000	54.2000	50.4000	77.8000	80.2000	55.7000	62.5000	92.3000	71.2000	75.6000	77	106.9000	85.5000	55.2000	103.1000	65.6000	78.8000	154.2000	92.7000	89.8000	123.9000	72.3000	115	117	47	69.6000	72	39	64.1000	73	90.6000	76.3000	74.4000
Isovaleric acid	Isovaleric acid	18.7000	25.4000	23.2000	13	21	22.3000	16.2000	18.9000	17.8000	14.5000	16.4000	17.3000																															
Ketoisovaleric acid	Ketoisovaleric acid	1.1000	1.8000	1.8000	0.3000	0.9000	1	1.5000	1	2.6000	1.8000	1.7000	0.3000	9.5000	10.7000	14.7000	7	8.7000	11.1000	10.1000	13.6000	9.9000	17.1000	18	12.1000	19.1000	14.3000	15.4000	15.7000	21	19.2000	21.3000	20.4000	21.9000	16.3000	6.1000	9.4000	8.7000	4	6	10	6.9000	8.3000	10.4000
Ketoleucine	Ketoleucine	4.3000	4.5000	3.2000	5.7000	6.3000	3	3.4000	4.1000	3.5000	5.4000	6.1000	4.5000	24.1000	28.8000	32.6000	25.4000	29.5000	37.7000	31.7000	38.2000	33.2000	45.3000	26.2000	21.8000	45.3000	30.5000	39.3000	31.5000	28.5000	37	41.4000	37.9000	53.4000	33.9000	16.4000	15.7000	13.2000	13.6000	15.9000	15	11.4000	22.5000	19.7000
Lactic acid	Lactic acid	3259.5000	2359.1000	3454.3000	2457.4000	1445.7000	2881.3000	2023.5000	2743.7000	3862	2202.7000	3428.6000	2286.2000	1175.9000	2925.8000	3542.2000	2084.2000	1794	1878.3000	1648.7000	1293.4000	1749	2916.7000	5687.5000	3105.7000	4219.8000	3040.5000	5336.8000	5061.8000	3439.7000	5325.7000	5024.6000	6517.8000	5272.1000	3008.4000	874.8000	1136.2000	2355.6000	1268.7000	1833.6000	1019.9000	1704.3000	887.5000	1220.8000
Leucine	Leucine	125.3000	148.6000	137	107.5000	114.2000	169.4000	115.8000	104.1000	147.4000	98.3000	154	111.4000	107.3000	141	142.8000	115.8000	127.1000	184.1000	134.8000	151.9000	148.9000	201.2000	164.8000	121.4000	227.2000	151.3000	201.3000	260.3000	192.2000	197.2000	240.9000	173.1000	236.6000	198.9000	122.8000	147.6000	130.5000	98.7000	145.5000	170.2000	148.9000	160.6000	163.4000
Lysine	Lysine	157.6000	168.3000	226.7000	115.1000	178	178.2000	170.8000	183	137.6000	116.6000	215.9000	174.5000	141.4000	174.2000	160.6000	173.6000	184.1000	211.1000	159.6000	207.9000	203.2000	264.3000	166.6000	103.1000	235.3000	160.1000	127.8000	298.5000	208.2000	215	141	188.8000	246	191.9000	140	160.4000	138.3000	148.1000	202.4000	162.4000	165.1000	173.4000	217.3000
Mannose	Mannose	70.4000	76.5000	60.4000	50.1000	63	54.3000	54.4000	64.6000	109.8000	62.3000	46	55.4000	54.3000	58.2000	77.3000	46.9000	54.2000	55.3000	77.3000	76.7000	87.2000	91.3000	104.8000	53.6000	89.1000	52.6000	96.4000	70.7000	64.4000	62.9000	87.2000	62.4000	87.5000	76.6000	59	64.4000	70.6000	37.8000	53.1000	43.8000	46.5000	59.3000	85
Myo-inositol	Myo-inositol	67.2000	68.4000	36	35.2000	42.1000	37	38.8000	45	43.5000	44.9000	35.9000	30.4000	27.1000	30.5000	32	36.3000	37.2000	36.3000	27.8000	25.6000	32.8000	59.2000	53.7000	52	52	85.3000	46	63	53	62.7000	49.4000	51.8000	50.1000	38	13.4000	44.3000	23.2000	42.1000	27.8000	45.1000	43.8000	29.7000	57.9000
