"pvalue","feature_id","padj"
0.139648955950562,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))",0.208445372683831
0.0269689991046478,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))",0.0682889356119662
0.141012788099452,"Artonin O",0.208660738166313
0.040451739456008,"Elastase Inhibitor III",0.0905853706506672
0.000364698592396671,NA,0.00319345049496059
0.0835257211315156,"Oxalicine A",0.149340490923626
0.109639568448461,"Myricatomentoside I",0.179147907297365
0.3435832417233,"Megapolibactin C",0.405998882520785
0.6793753318955,NA,0.725020862007229
0.0669642182519908,NA,0.128835383284816
0.115492036895161,NA,0.184425598331828
0.169749871763189,NA,0.238068095306484
0.214998088762572,NA,0.285688121838204
0.0201421804736866,NA,0.0554722147722901
0.113548990948265,NA,0.183286088692797
0.207627938857449,NA,0.277514446652911
0.149113980221176,NA,0.215616152792844
0.664701633015549,NA,0.710471385523662
0.195696665681425,NA,0.264674896357254
0.0212501174680591,NA,0.0579650774775374
0.149091033651708,NA,0.215616152792844
0.106285086728537,"6-O-acetylmalyngamide 2",0.175872658251056
0.115839797488073,"Balgacyclamide A",0.184425598331828
0.134163318283044,NA,0.2063818612327
0.000248643733869997,NA,0.00249740691519424
0.0143962469746301,NA,0.0437006074829882
0.237206744322361,NA,0.305933371698825
0.000689975226066381,NA,0.00461522734945738
0.664485031732959,"Vitixanthin",0.710471385523662
2.17264084785503e-05,"N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide",0.000593565479633994
0.00221851980283399,"Cer(d18:1/16:0)",0.0112240668543379
6.28696224934238e-05,"{[2-Amino-4-oxo-6,7-di(sulfanyl-kappaS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(oxo)thioxomolybdenum",0.00116053924764888
0.00435089265502862,"1-(2-methoxy-octadecanyl)-sn-glycero-3-phosphoserine",0.0183435782924972
0.00388501342133043,NA,0.0171191236565722
0.0472062102187157,"Vignatic acid A",0.0995118567264902
0.0176780366559383,NA,0.0507315085546464
7.00588049177339e-05,"Mindapyrrole A",0.00122692727586698
0.000508324927792314,"Cer(t18:1(6OH)/15:0(2OH))",0.00403704564746687
0.00955005149057924,NA,0.0326134258403281
0.00522202758355569,NA,0.0205851997514128
0.043543797653461,"Dihydromorelloflavone",0.0949076680137406
0.0602813445639725,NA,0.118515266218726
0.00139056172918342,NA,0.00778486607403504
0.08054550500551,"PC(6:2(3E,5E)/14:2(11E,13E))",0.14592196264924
0.097017913222085,"Saframycin C",0.165244974390733
0.0124325973689833,"Octacosanoylcarnitine",0.0398660281831717
0.00384328188866301,"1-Heneicosanoyl-glycero-3-phosphoserine",0.0170452047399795
0.276348445835973,NA,0.342551703277621
0.0266684510511728,NA,0.0682889356119662
0.0501635382813889,"Cer(t18:1(6OH)/16:0(2OH))",0.103369476393874
0.000741819194674565,"Cer(d18:0/h17:0)",0.00469131953669193
0.000635002211527452,NA,0.00442557663748214
0.0220657674933239,NA,0.0595688505847439
0.431405627547714,NA,0.491083406025148
0.0734842948865095,NA,0.136756875769717
0.000434154073844581,NA,0.00370659040544811
0.570738236562711,NA,0.625731218827601
0.457963836086255,NA,0.515513303787802
0.416303223973727,NA,0.477874120964799
0.558658968399722,"Cer(t18:0/17:0(2OH))",0.615425928091951
0.140082615024712,"Dehydrated antipain",0.208445372683831
0.481381666404124,NA,0.540737914678852
0.00791877248767725,"Cer(t18:1(6OH)/19:0)",0.0285161045229688
0.097569728440776,"Cer(d18:0/18:1(12Z)-2OH(9,10))",0.165360110483995
0.621913234677046,"Yanucamide A",0.674232919499083
0.293504865552991,NA,0.35797111280838
0.597357804695,NA,0.651749809275855
0.321905364689006,NA,0.38639958538241
0.270945471877474,NA,0.338310342399112
0.00281679559043268,NA,0.0136444779309611
0.912096717676724,NA,0.922907934743836
0.0587177288840013,"Triangulyne D",0.116874315287189
0.000693533209396328,NA,0.00461522734945738
0.0363835575443095,"Cer(t18:1(6OH)/19:0(2OH))",0.0851026363108336
0.00455113238983697,"Lonchocarpin",0.0189538013552357
0.417458358343597,NA,0.477879601114092
0.125506166407952,NA,0.196157234912199
0.0304233686822335,"Cytidine 5'-monophosphate-N-acetylneuraminic acid",0.0750150209746046
0.0589972299157068,NA,0.116874315287189
0.182477978651098,NA,0.251464084388585
0.377221042608435,NA,0.438913070019695
0.155972465383033,"Kaempferol 3- (4""-acetyl-6""-p-coumarylglucoside)",0.223331643305265
0.617339784634576,"Cer(t18:1(6OH)/21:0(2OH))",0.670338748657258
0.000978183681592965,NA,0.00575947805627582
0.17384230214157,NA,0.24123533164352
0.0723737171475447,NA,0.13617423915089
0.570762151287841,"Cer(d18:1/24:1(15Z))",0.625731218827601
0.0434602438101754,NA,0.0949076680137406
0.285492571109051,NA,0.350074373550236
0.923200690453126,NA,0.932760460916398
0.0692050721872521,NA,0.132030905876797
0.683748890087701,NA,0.727415096464019
0.893519561495925,"Cer(m18:1(4E)/26:1(17Z))",0.910856508211517
0.330084088222764,NA,0.39482912829448
0.908515882840573,"Fenugreekine",0.922015375899125
0.550492409324523,NA,0.608289496470041
0.00359120478855541,NA,0.0162436613945917
0.050246948993801,"Cer(t18:1(6OH)/23:0(2OH))",0.103369476393874
0.00592517591716898,NA,0.0227353660192495
0.083417842318361,"DG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",0.149340490923626
0.0315954366137587,NA,0.0767960256483887
0.0733896236971194,NA,0.136756875769717
0.0165135131922965,NA,0.0475895759929894
0.182615206232413,NA,0.251464084388585
0.0437714720707589,"PA(16:0/18:1(11Z))",0.0949076680137406
0.000316684828669397,NA,0.00284599655238418
0.0138636516080908,"Cer(d18:2/25:0(2OH))",0.0428455839290769
0.00497314249374718,NA,0.0198634872703469
0.000154642177286439,NA,0.00182104494976962
0.000134800844493797,"Cer(t18:1(6OH)/25:0)",0.00170498105165303
0.00449659880123373,NA,0.0188415765720407
0.0462206456783538,NA,0.0986521906197363
0.149321288830183,NA,0.215616152792844
3.22785688143865e-05,NA,0.000787366517865213
0.0911084188495203,NA,0.157712104866121
0.44574134008601,NA,0.504041945825737
0.000104783663359392,NA,0.00155580961031445
0.000212207179751217,NA,0.00227203955786805
0.0346901527885233,NA,0.082613087127893
0.0495801563654953,"selenodiglutathione",0.102927801816515
0.234942036254901,"PC(14:1(9Z)/15:0)",0.303911762807003
0.00180839699384013,NA,0.00972547359679378
0.213428090829335,"Cer(t18:1(6OH)/25:0(2OH))",0.284154748609037
0.0860836540820364,"DG(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",0.1527146382806
0.0213019538021404,"PE(16:1(9Z)/P-18:1(11Z))",0.0579650774775374
2.05431381393103e-06,"GlcCer(d18:1/16:0)",0.00012755421226499
0.0224320965781607,"PE(16:0/P-18:1(11Z))",0.060082831226995
0.857130687642355,"3,3',5-Triiodothyroacetic acid sulfate",0.881657017559832
0.277171718480589,NA,0.342949789351888
0.0468991815502408,NA,0.0991707151666082
0.123924780134542,"palinavir",0.194129873467643
0.0545958327979664,NA,0.11064971454306
0.128208872372385,"PE(16:0/18:2(9Z,12Z))",0.199015135978043
0.034224171725009,"PE(16:0/18:2(9Z,12Z))",0.0823067228457082
0.830292816497949,NA,0.859602841950764
0.0361134971476077,"PE(16:0/18:1(11Z))",0.084761232136825
0.0067175627170913,"PG(16:0/16:1(9Z))",0.0250715592118763
0.00343098554416454,NA,0.0159412457596216
0.10455846168885,"PE(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))",0.174604961695561
0.137299545578153,NA,0.207928136651616
0.755505855735924,NA,0.795085515358453
0.313034194924874,NA,0.378411248024229
0.108823120220915,"DG(20:5(5Z,8Z,11Z,14Z,17Z)/24:1(15Z)/0:0)",0.179147907297365
0.0940889216948014,NA,0.161464154566707
0.278145107352236,"PE(18:1(11Z)/P-18:1(11Z))",0.343531841449507
0.0122271424985595,"PE(18:1(11Z)/P-18:1(11Z))",0.0395788546280386
0.560142266066359,"PC(14:0/18:1(11Z))",0.616066292630151
0.647380149495327,NA,0.696315971819384
0.728540902031872,"PE(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",0.769077953767803
0.149979899466054,"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",0.216110277078724
0.220950359870346,"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",0.28864624176154
0.0155131462838071,"Myxoquinone-739",0.0458678740772305
0.0788393129615002,"PE(16:0/20:4(5Z,8Z,11Z,14Z))",0.144362602554168
0.38046612186429,"PE(16:0/20:4(5Z,8Z,11Z,14Z))",0.441185672722088
0.0354241524021331,"PC(15:0/18:3(6Z,9Z,12Z))",0.0837186715939686
0.0224104578323347,"PC(15:0/18:3(6Z,9Z,12Z))",0.060082831226995
0.0267773354089377,"PC(15:0/18:2(9Z,12Z))",0.0682889356119662
0.0191698506860692,NA,0.05344084905545
7.68549883336095e-06,"Termitomycesphin C",0.000311427649156308
