"Metabolite","Group Area: HILIC_Neg_WT1","Group Area: HILIC_Neg_WT2","Group Area: HILIC_Neg_WT3","Group Area: HILIC_Neg_WRN1","Group Area: HILIC_Neg_WRN2","Group Area: HILIC_Neg_WRN3","Group Area: HILIC_Neg_shPGC1B1","Group Area: HILIC_Neg_shPGC1B2","Group Area: HILIC_Neg_shPGC1B3"
"Glutathione.reduced.1",4.45085142188587,4.38874625753194,5.27537873618656,6.10174401922926,6.10113159291711,6.62965948068377,5.85919024153924,3.99980502160327,6.47851303289585
"Adenosine",3.40011299105472,3.2656813329003,3.31480049781582,3.00542032637932,4.12235317351906,4.67353101520436,4.53523454696235,4.19789535823088,4.06897253357829
"Xanthosine",-4.10359454683609,-3.45305337004321,-1.88417483672248,-2.02211003325755,-1.8337686130014,-0.970515041695496,0.738910336625512,-0.270041355641137,0.843042794243456
"Phenylac.Gly.OH",-0.93339323740463,-0.332930237378374,0.185921627664538,1.98039109409446,1.97208538810226,2.65593082507361,2.24121908116861,1.11531772528447,2.69289486463629
"Uridine.5..phosphoric.acid",1.60091403093403,1.59435962700628,1.59287160893249,2.57367865662209,2.78804351132649,2.86008189466,3.2250700483394,3.31002460432449,3.35110939385143
"X4.Nitrophenol",2.9196543749676,3.16873045553011,3.34804321674335,3.16703881403192,2.80845904388781,2.75796202119203,2.76999376532143,3.18964095687781,2.46635880259139
"Pantothenic.acid",4.40900839462297,5.03258707924848,5.56775936861571,6.56981646454122,6.43380720485548,7.15912954121354,7.09901660968005,6.02294039023189,7.47108248509145
"Xanthine",-2.73570188262253,-2.90210518462818,-3.02738434058667,3.67270483017293,3.79306747317803,4.13395656811874,3.46360793064486,3.26243055682705,4.08619465996475
"Inosine",4.02114629160295,3.99307699531174,3.89452726893976,3.93492458673832,4.19810771850232,4.36167142455696,3.9276602479261,3.73395799769403,4.04532883029017
"sn.glycero.3.Phosphocholine",1.69149610699527,1.590331205296,1.78928006159652,3.9278968988482,3.73451412596275,3.97745096141107,2.45075868482079,2.67431013357695,3.17825176930904
"Threonine",0.888060659088637,1.13252266765854,1.5014106130731,1.86579608033799,1.77642742852162,2.14316400053864,2.42073213893201,1.30882269729383,2.93825738820079
"X1.2.Dioleoyl.sn.glycero.3.phosphocholine",3.51068404955445,3.59307486693294,4.50077418477115,3.04959992819975,2.86844325242939,4.01265562672351,4.1894063589049,4.47838117254989,4.3524310105706
"X1.2.Dioleoyl.sn.glycero.3.phosphocholine.1",4.12358479087664,3.87646678975058,3.88858442055027,3.4100878060032,3.28399950989478,3.14254515336066,3.15693243682008,3.75928838428779,2.89850745626035
"X2.Methylsuccinic.acid",0.693590538735286,1.41502248103075,1.31852413170655,-0.80338496508114,-0.681725695486129,-1.0478364702394,-1.15638411233753,-1.03729445998768,-1.08490269454826
"Pseudouridine",-0.390814125333772,-0.279388017640137,-0.76074877785959,-0.0897296863750121,0.315868466622195,0.461046008879247,1.23247869321674,0.486889989933744,1.08901112837531
"X6.Chloro.5.methyl.1H.1.2.3.benzotriazole",-1.88808802319122,-1.33173790079149,-0.978499502270324,0.575701017332204,0.351452853233354,1.04631681767355,2.03005348718753,0.822322409906722,2.47905989902773
"Uridine.5..diphosphoglucuronic.acid",1.19071254935792,1.65731422482116,1.53437565677423,1.62339098490263,1.4423473348783,1.63791650309697,1.74479694436225,0.868801335436356,1.67654757812452
"Phosphoric.acid",6.54343434494041,5.69905353746213,6.41268834326893,6.76753665783308,7.39030744780228,6.9244146510034,5.41173998228673,5.46064154144553,5.62341006197315
"Cyclic.ADP.ribose",3.81446220199178,3.9576344285422,4.20798100608573,4.04465078007692,3.92937469300049,4.14812274593448,3.92962773330453,3.695017837668,4.09207744149455
"UDP.N.acetylglucosamine",4.2212668954879,4.42589574560534,4.62610828402513,4.88303792364916,4.76477231376031,4.96187467446049,4.70065943865508,4.40732096688496,4.82065844332518
"Phosphoric.acid.1",7.83971143547892,7.45006487685416,7.66755702544112,7.78658749637224,7.93176646151139,7.66584054281677,6.94521006699694,7.38706110999546,6.7399124281751
"X3.Aminosalicylic.acid",0.739663278375016,1.11182826366178,1.41086245018348,1.14917107228651,0.99746631216415,0.712892578937723,0.507739836241385,0.895513934788326,0.344461786655078
"D.ribose.5.phosphate",4.04393302201338,3.63552599614343,4.09027014808621,3.72631307485238,3.74679660116416,3.70972077965397,2.13658986431059,2.11685903761597,2.1919428547408
"X2.4.Dinitrophenol",1.68122161459859,2.00849732804095,1.95187911299353,1.27096192324636,1.01342443620895,1.03388984613513,1.51818909024845,1.72017358409672,1.4483543006447
"DL.Alanine",-2.59580956706706,-2.21999702149141,-1.74953057578556,1.72661977752743,1.67366851177684,2.07783124653496,1.70642962894257,0.601840052013024,2.10509248033064
"Phosphite",4.50367982283472,3.56560271043711,4.39015156094826,3.88932857417307,3.92100233591171,3.86326671079295,3.61086912474997,4.07448202615043,3.46571622633262
"Perchloric.acid",-2.06947782543596,0.402159251740656,-1.59995540722814,-3.64036988302155,-0.24921802207178,-4.51807894571904,-4.11285251414247,-3.44553210481462,-4.54470764814199
